plot,standtype,Latitude,Longitude,drainage
C1-14A,jack pine,62.731584,-115.648558,well-drained
C1-14B,spruce,62.731995,-115.650513,poorly-drained
C1-17A,spruce,62.728687,-115.69965,well-drained
C1-17B,spruce,62.729495,-115.697965,poorly-drained
C1-17C,spruce,62.732082,-115.697505,well-drained
C1-19A,conifer mix,62.690862,-115.470054,poorly-drained
C1-19B,conifer mix,62.691898,-115.469811,poorly-drained
C1-21A,spruce,62.727336,-115.629471,poorly-drained
C1-21B,jack pine,62.726469,-115.632376,poorly-drained
C1-32A,deciduous,62.660851,-115.347666,poorly-drained
C1-32B,jack pine,62.660989,-115.350219,poorly-drained
C1-32C,spruce,62.662726,-115.347985,poorly-drained
C1-8A,spruce,62.706916,-115.603876,well-drained
C1-8B,spruce,62.708606,-115.600581,poorly-drained
C1-8C,jack pine,62.710002,-115.600861,well-drained
C2-11A,jack pine,62.460224,-114.543084,well-drained
C2-11B,spruce,62.458804,-114.541818,poorly-drained
C2-17A,jack pine,62.462836,-114.591784,well-drained
C2-17B,spruce,62.463317,-114.594367,well-drained
C2-2A,spruce,62.467739,-114.590179,poorly-drained
C2-2B,jack pine,62.464602,-114.590133,well-drained
C2-3A,jack pine,62.454493,-114.549338,well-drained
C2-3B,spruce,62.455459,-114.54562,well-drained
C2-3C,conifer mix,62.454137,-114.546715,poorly-drained
C3-3A,deciduous-conifer mix,63.111516,-113.778915,poorly-drained
C3-3B,conifer mix,63.112205,-113.776568,poorly-drained
C4-5A,spruce,63.213214,-114.040845,poorly-drained
C4-5B,spruce,63.213793,-114.04327,well-drained
C5-11A,jack pine,62.985838,-114.056467,well-drained
C5-11B,jack pine,62.98644,-114.054095,poorly-drained
C5-4A,spruce,63.02294,-114.102887,poorly-drained
C5-4B,spruce,63.024426,-114.103356,poorly-drained
C6-12A,spruce,62.905779,-114.262612,well-drained
C6-12B,conifer mix,62.903947,-114.264738,poorly-drained
C6-2A,spruce,62.876039,-114.284554,well-drained
C6-2B,spruce,62.877908,-114.288231,poorly-drained
C7-18A,spruce,65.170895,-126.814895,poorly-drained
C7-18B,spruce,65.171458,-126.811862,well-drained
C7-5A,spruce,65.17003,-126.820415,poorly-drained
C7-9A,spruce,65.153138,-126.847868,poorly-drained
C7-9B,spruce,65.151877,-126.851958,poorly-drained
C8-4A,spruce,65.267716,-126.702246,poorly-drained
C8-4B,spruce,65.270075,-126.700611,poorly-drained
C9-1A,spruce,65.592113,-127.41744,well-drained
C9-1B,spruce,65.59224,-127.411746,poorly-drained
C9-5A,spruce,65.626861,-127.54165,poorly-drained
C9-9A,spruce,65.64198,-127.407658,poorly-drained
C9-9B,spruce,65.643716,-127.408401,well-drained
